Iterations,Training Accuracy,Training Loss,Test Accuracy,Test Loss
0,0.140000000596,233.830169678,0.142399996519,232.149169922
1,0.180000007153,224.410873413,0.20759999752,222.204940796
2,0.239999994636,216.870162964,0.250299990177,214.844100952
3,0.419999986887,207.888442993,0.404700011015,207.164505005
4,0.52999997139,193.896377563,0.489100009203,198.488082886
5,0.589999973774,182.329101562,0.52530002594,189.497406006
6,0.639999985695,173.667633057,0.554400026798,179.377670288
7,0.709999978542,153.846160889,0.575500011444,169.156509399
8,0.569999992847,156.593109131,0.602699995041,158.732299805
9,0.629999995232,149.35697937,0.61369997263,148.679550171
10,0.680000007153,143.035888672,0.643800020218,137.700424194
11,0.660000026226,128.364471436,0.708400011063,126.194213867
12,0.759999990463,117.860389709,0.758899986744,114.938522339
13,0.680000007153,114.841529846,0.724500000477,106.989181519
14,0.629999995232,113.86277771,0.715499997139,100.938774109
15,0.670000016689,97.2436141968,0.754499971867,93.4696655273
16,0.769999980927,82.5713272095,0.784900009632,86.3539810181
17,0.829999983311,76.7562713623,0.793399989605,79.2922973633
18,0.800000011921,76.1152877808,0.798099994659,73.7036743164
19,0.769999980927,71.2044448853,0.785499989986,70.3782348633
20,0.790000021458,72.7481689453,0.818599998951,66.4705657959
21,0.879999995232,50.3236427307,0.810800015926,64.8415222168
22,0.75,71.0604400635,0.795799970627,64.6493988037
23,0.77999997139,63.3469772339,0.809499979019,60.9502716064
24,0.850000023842,49.5263824463,0.833500027657,56.5393638611
25,0.839999973774,52.0539932251,0.846400022507,54.3636741638
26,0.850000023842,53.0078544617,0.840099990368,53.8001670837
27,0.810000002384,62.8575973511,0.828800022602,54.3017196655
28,0.889999985695,41.148475647,0.829999983311,53.0802536011
29,0.889999985695,44.6674079895,0.845700025558,50.5081939697
30,0.77999997139,65.6441040039,0.843800008297,50.7137489319
31,0.800000011921,60.2363052368,0.84350001812,50.2304801941
32,0.769999980927,56.2697525024,0.838100016117,50.7445335388
33,0.839999973774,64.7607345581,0.831900000572,52.4126052856
34,0.870000004768,50.7032318115,0.840399980545,50.3174705505
35,0.810000002384,60.7153701782,0.860199987888,46.6636047363
36,0.879999995232,29.3593921661,0.874000012875,43.788356781
37,0.870000004768,36.493598938,0.862500011921,45.6879882812
38,0.839999973774,39.3578071594,0.856700003147,46.8573303223
39,0.870000004768,38.2479820251,0.860400021076,45.6786575317
40,0.860000014305,45.8031005859,0.870199978352,43.5829963684
41,0.899999976158,46.3820877075,0.876900017262,41.520450592
42,0.920000016689,30.0860023499,0.879499971867,40.3644752502
43,0.870000004768,36.6713409424,0.875999987125,41.3485183716
44,0.790000021458,62.162853241,0.871299982071,42.3325920105
45,0.889999985695,33.9333305359,0.875599980354,41.6001663208
46,0.819999992847,51.2489395142,0.882399976254,40.0250511169
47,0.920000016689,33.184387207,0.890299975872,38.1300621033
48,0.860000014305,34.6061897278,0.892599999905,37.461933136
49,0.889999985695,33.5660400391,0.888800024986,37.6864471436
50,0.879999995232,41.7019309998,0.881299972534,38.6405181885
51,0.77999997139,47.7489280701,0.879400014877,39.6415748596
52,0.930000007153,26.4685535431,0.883700013161,38.7821311951
53,0.860000014305,36.812664032,0.88529998064,38.4910926819
54,0.879999995232,39.9089431763,0.881699979305,39.1278953552
55,0.889999985695,31.2918548584,0.882399976254,39.0265655518
56,0.910000026226,28.6062755585,0.881699979305,38.7976608276
57,0.899999976158,29.9480056763,0.885699987411,38.1715698242
58,0.910000026226,28.6141757965,0.890200018883,37.3754310608
59,0.920000016689,33.2347831726,0.893700003624,36.070941925
60,0.860000014305,34.2060127258,0.898299992085,34.3551559448
61,0.889999985695,32.8794288635,0.902999997139,33.8731422424
62,0.920000016689,25.571559906,0.902599990368,34.0519943237
63,0.910000026226,25.370513916,0.902300000191,34.2635269165
64,0.930000007153,24.8844947815,0.898699998856,34.9381561279
65,0.930000007153,28.7683124542,0.894299983978,35.5564880371
66,0.860000014305,46.8447723389,0.894800007343,35.6504592896
67,0.930000007153,31.6304168701,0.898899972439,35.0372924805
68,0.850000023842,51.1670455933,0.90030002594,34.4959907532
69,0.930000007153,23.746131897,0.902999997139,33.7585830688
70,0.899999976158,39.2672119141,0.906799972057,32.918548584
71,0.889999985695,42.6826782227,0.907299995422,31.8093204498
72,0.910000026226,34.1661071777,0.908500015736,31.1796283722
73,0.910000026226,34.4255027771,0.908299982548,31.6267280579
74,0.889999985695,38.5753822327,0.906700015068,32.1537971497
75,0.889999985695,35.198638916,0.905900001526,32.9623413086
76,0.939999997616,28.5951766968,0.903500020504,33.6297073364
77,0.930000007153,19.884979248,0.899900019169,33.8919639587
78,0.910000026226,25.9099521637,0.902000010014,33.3016242981
79,0.910000026226,27.32056427,0.910000026226,31.6459712982
80,0.879999995232,34.9596176147,0.911499977112,30.7279319763
81,0.839999973774,44.647731781,0.9075999856,30.9867630005
82,0.899999976158,34.0800743103,0.90499997139,31.7639408112
83,0.910000026226,31.392999649,0.902499973774,32.5856437683
84,0.889999985695,33.1067504883,0.897400021553,33.7808799744
85,0.889999985695,33.0230865479,0.899200022221,33.686050415
86,0.870000004768,27.4063205719,0.902499973774,32.3602371216
87,0.870000004768,31.5817050934,0.908399999142,30.7970466614
88,0.949999988079,22.480506897,0.912899971008,30.015039444
89,0.910000026226,31.3154640198,0.911499977112,30.5518302917
90,0.910000026226,34.5354766846,0.905799984932,31.4089183807
91,0.889999985695,33.5902023315,0.905099987984,31.2421073914
92,0.959999978542,21.6908359528,0.91219997406,29.7439842224
93,0.920000016689,22.3324794769,0.917500019073,28.1904640198
94,0.899999976158,30.1313819885,0.921299993992,27.4181804657
95,0.860000014305,47.3240509033,0.919900000095,27.480840683
96,0.939999997616,26.7417469025,0.916499972343,27.9563121796
97,0.939999997616,25.5775756836,0.91219997406,28.6428394318
98,0.879999995232,34.8939285278,0.910199999809,29.0613746643
99,0.839999973774,43.0325088501,0.914099991322,28.1768531799
100,0.939999997616,16.5273170471,0.922200024128,26.7332820892
101,0.899999976158,25.5036582947,0.924399971962,26.2988319397
102,0.899999976158,38.3450393677,0.921599984169,26.9837818146
103,0.949999988079,16.5905647278,0.916700005531,28.0751342773
104,0.939999997616,23.161611557,0.911599993706,29.1841564178
105,0.879999995232,36.0870933533,0.914099991322,28.7209281921
106,0.920000016689,24.2902946472,0.916999995708,27.5509796143
107,0.910000026226,31.383890152,0.922200024128,26.9748325348
108,0.949999988079,19.0733718872,0.922800004482,26.6795043945
109,0.920000016689,28.1942996979,0.922299981117,26.8923797607
110,0.899999976158,31.8296051025,0.920899987221,26.9156341553
111,0.930000007153,31.914484024,0.919300019741,26.976108551
112,0.879999995232,37.512752533,0.920599997044,26.6074962616
113,0.949999988079,21.1708564758,0.923399984837,26.1201286316
114,0.920000016689,32.2546691895,0.923799991608,26.2156066895
115,0.959999978542,18.3131351471,0.923900008202,26.4587783813
116,0.949999988079,21.5477409363,0.921199977398,26.8973236084
117,0.899999976158,33.6809921265,0.918699979782,27.6475257874
118,0.949999988079,18.8580703735,0.917699992657,27.8865966797
119,0.910000026226,36.2624702454,0.918299973011,27.9896945953
120,0.889999985695,46.3338928223,0.918200016022,27.6466789246
121,0.870000004768,58.3930892944,0.919499993324,26.8998470306
122,0.910000026226,38.1105499268,0.922399997711,26.4126834869
123,0.899999976158,34.5236244202,0.926400005817,25.48478508
124,0.920000016689,21.5990543365,0.929600000381,24.8733444214
125,0.930000007153,26.3996639252,0.925300002098,25.3468284607
126,0.889999985695,32.253578186,0.922900021076,26.040605545
127,0.879999995232,43.1736831665,0.920799970627,26.485660553
128,0.910000026226,23.7466506958,0.923200011253,25.798740387
129,0.889999985695,35.8828010559,0.92720001936,24.9671726227
130,0.97000002861,14.7058296204,0.92720001936,24.4991989136
131,0.899999976158,28.9101867676,0.925400018692,25.0400600433
132,0.899999976158,37.6450691223,0.917500019073,26.3406448364
133,0.889999985695,26.4066810608,0.915099978447,26.9036560059
134,0.910000026226,30.7163391113,0.916800022125,26.3945789337
135,0.910000026226,26.262260437,0.920899987221,25.4654102325
136,0.889999985695,41.3979797363,0.923699975014,24.9609642029
137,0.910000026226,19.6865291595,0.927299976349,24.3195419312
138,0.889999985695,44.3143539429,0.928399980068,23.9285545349
139,0.899999976158,35.6056671143,0.929099977016,23.965007782
140,0.959999978542,23.486869812,0.930000007153,23.910369873
141,0.910000026226,30.7238540649,0.930199980736,24.0544300079
142,0.959999978542,20.0062046051,0.92919999361,24.4912662506
143,0.949999988079,19.6796360016,0.928499996662,24.7057037354
144,0.910000026226,29.9425563812,0.927100002766,25.1285190582
145,0.910000026226,22.4514408112,0.928600013256,24.9509716034
146,0.870000004768,33.8086853027,0.926500022411,24.9352893829
147,0.899999976158,28.8691082001,0.928300023079,24.5932941437
148,0.930000007153,22.3431968689,0.930100023746,23.7321205139
149,0.910000026226,39.2380981445,0.932900011539,22.9989280701
150,0.920000016689,22.1140155792,0.934199988842,22.7218666077
151,0.899999976158,32.8693618774,0.933300018311,22.5905990601
152,0.910000026226,27.427854538,0.931599974632,22.6717605591
153,0.930000007153,28.6406555176,0.931999981403,22.3974399567
154,0.949999988079,17.9757728577,0.931900024414,22.2075767517
155,0.920000016689,26.9938621521,0.932200014591,21.8953323364
156,0.939999997616,17.1076660156,0.934800028801,21.455280304
157,0.959999978542,21.9269542694,0.936299979687,21.2216358185
158,0.949999988079,19.2315750122,0.936500012875,21.4035644531
159,0.920000016689,25.2299404144,0.931999981403,22.3878078461
160,0.949999988079,17.6836471558,0.930899977684,22.835931778
161,0.899999976158,24.0048675537,0.930199980736,22.9597358704
162,0.959999978542,17.5751190186,0.931699991226,22.669095993
163,0.939999997616,22.4712371826,0.933099985123,22.6233158112
164,0.959999978542,12.1989631653,0.933600008488,22.3046627045
165,0.949999988079,17.952671051,0.934199988842,22.0509910583
166,0.959999978542,17.8770503998,0.935500025749,21.3982715607
167,0.870000004768,55.5043563843,0.937900006771,20.7939319611
168,0.939999997616,30.5775203705,0.935199975967,20.9407234192
169,0.939999997616,29.2995014191,0.933799982071,21.2207145691
170,0.910000026226,31.2550010681,0.934599995613,21.2141990662
171,0.97000002861,17.5174293518,0.934499979019,21.3106327057
172,0.959999978542,17.898311615,0.933700025082,21.3338680267
173,0.949999988079,17.5779399872,0.935199975967,20.8820514679
174,0.939999997616,15.7621126175,0.935699999332,20.8062038422
175,0.920000016689,26.949382782,0.935500025749,20.4556350708
176,0.920000016689,22.3475799561,0.936900019646,19.9445095062
