Iterations,Training Accuracy,Training Loss,Test Accuracy,Test Loss
0,0.140000000596,233.830169678,0.142399996519,232.149169922
5,0.589999973774,182.329101562,0.52530002594,189.497406006
10,0.680000007153,143.035888672,0.643800020218,137.700424194
15,0.670000016689,97.2436141968,0.754499971867,93.4696655273
20,0.790000021458,72.7481689453,0.818599998951,66.4705657959
25,0.839999973774,52.0539932251,0.846400022507,54.3636741638
30,0.77999997139,65.6441040039,0.843800008297,50.7137489319
35,0.810000002384,60.7153701782,0.860199987888,46.6636047363
40,0.860000014305,45.8031005859,0.870199978352,43.5829963684
45,0.889999985695,33.9333305359,0.875599980354,41.6001663208
50,0.879999995232,41.7019309998,0.881299972534,38.6405181885
55,0.889999985695,31.2918548584,0.882399976254,39.0265655518
60,0.860000014305,34.2060127258,0.898299992085,34.3551559448
65,0.930000007153,28.7683124542,0.894299983978,35.5564880371
70,0.899999976158,39.2672119141,0.906799972057,32.918548584
75,0.889999985695,35.198638916,0.905900001526,32.9623413086
80,0.879999995232,34.9596176147,0.911499977112,30.7279319763
85,0.889999985695,33.0230865479,0.899200022221,33.686050415
90,0.910000026226,34.5354766846,0.905799984932,31.4089183807
95,0.860000014305,47.3240509033,0.919900000095,27.480840683
100,0.939999997616,16.5273170471,0.922200024128,26.7332820892
105,0.879999995232,36.0870933533,0.914099991322,28.7209281921
110,0.899999976158,31.8296051025,0.920899987221,26.9156341553
115,0.959999978542,18.3131351471,0.923900008202,26.4587783813
120,0.889999985695,46.3338928223,0.918200016022,27.6466789246
125,0.930000007153,26.3996639252,0.925300002098,25.3468284607
130,0.97000002861,14.7058296204,0.92720001936,24.4991989136
135,0.910000026226,26.262260437,0.920899987221,25.4654102325
140,0.959999978542,23.486869812,0.930000007153,23.910369873
145,0.910000026226,22.4514408112,0.928600013256,24.9509716034
150,0.920000016689,22.1140155792,0.934199988842,22.7218666077
155,0.920000016689,26.9938621521,0.932200014591,21.8953323364
160,0.949999988079,17.6836471558,0.930899977684,22.835931778
165,0.949999988079,17.952671051,0.934199988842,22.0509910583
170,0.910000026226,31.2550010681,0.934599995613,21.2141990662
175,0.920000016689,26.949382782,0.935500025749,20.4556350708
180,0.889999985695,29.1073741913,0.9333999753,22.8008327484
185,0.920000016689,26.2894096375,0.930700004101,24.1899642944
190,0.889999985695,30.842798233,0.932799994946,22.7163619995
195,0.930000007153,37.266040802,0.928499996662,23.7287101746
200,0.930000007153,36.6760177612,0.933700025082,21.7253646851
205,0.939999997616,20.2936935425,0.944599986076,19.550239563
210,0.959999978542,16.0536251068,0.941699981689,19.5163955688
215,0.899999976158,25.3328895569,0.944999992847,18.4577083588
220,0.930000007153,27.4489917755,0.939599990845,19.61561203
225,0.97000002861,12.9505653381,0.944500029087,18.6745586395
230,0.930000007153,22.723487854,0.942399978638,18.509355545
235,0.959999978542,14.5231704712,0.947000026703,18.5123405457
240,0.920000016689,19.57239151,0.951699972153,16.6166152954
245,0.899999976158,35.0150756836,0.943700015545,17.9424171448
250,0.97000002861,12.4536418915,0.951699972153,16.4558906555
255,0.959999978542,13.5816726685,0.950600028038,16.6477832794
260,0.939999997616,22.0919895172,0.950200021267,16.806634903
265,0.910000026226,28.0862770081,0.952199995518,15.8951129913
270,0.889999985695,30.3600616455,0.949599981308,16.6620616913
275,0.939999997616,17.3126373291,0.951799988747,16.4115028381
280,0.930000007153,31.2599067688,0.951600015163,16.2515907288
285,0.930000007153,26.4565086365,0.949800014496,16.7198505402
290,0.959999978542,16.419303894,0.950800001621,15.9747552872
295,0.980000019073,5.44477272034,0.949500024319,16.5415229797
300,0.939999997616,26.83385849,0.950100004673,16.3503112793
305,0.97000002861,11.0443067551,0.951099991798,15.7336339951
310,0.949999988079,15.8620681763,0.952099978924,16.2351493835
315,0.930000007153,30.8528461456,0.951300024986,16.1782245636
320,0.959999978542,15.4168081284,0.953400015831,15.3691005707
325,0.959999978542,14.3771800995,0.952199995518,15.6854228973
330,0.959999978542,17.6294326782,0.949400007725,16.3176441193
335,0.930000007153,25.7178936005,0.95349997282,15.5815973282
340,0.939999997616,14.3500070572,0.95759999752,13.9381065369
345,0.980000019073,7.26148176193,0.955799996853,14.8200540543
350,0.959999978542,10.2556753159,0.95450001955,15.1705551147
355,0.97000002861,9.64375019073,0.95560002327,14.3373508453
360,0.980000019073,6.64626598358,0.957000017166,14.6539773941
365,0.930000007153,25.1305541992,0.95609998703,14.7904243469
370,0.920000016689,22.8745365143,0.956300020218,14.96641922
375,0.97000002861,13.1646947861,0.956799983978,14.405134201
380,0.980000019073,10.5361003876,0.957799971104,14.3997993469
385,0.959999978542,15.0573749542,0.958400011063,14.0229244232
390,0.949999988079,12.4986076355,0.952099978924,15.1725177765
395,0.97000002861,10.1205921173,0.95759999752,13.7022657394
400,0.97000002861,16.0668144226,0.956700026989,13.9590148926
405,0.949999988079,13.6111497879,0.959699988365,13.2473249435
410,0.949999988079,18.8566036224,0.959900021553,13.2008638382
415,0.949999988079,21.0594177246,0.956600010395,14.3168392181
420,0.980000019073,7.77123880386,0.958299994469,13.6933479309
425,0.949999988079,16.9622421265,0.961000025272,13.0337696075
430,0.959999978542,16.6809005737,0.961000025272,13.2701740265
435,0.959999978542,14.0391111374,0.959399998188,13.6824522018
440,0.949999988079,14.7652845383,0.954900026321,14.3994512558
445,0.939999997616,18.2223701477,0.959100008011,13.3639249802
450,0.959999978542,21.3926258087,0.955799996853,14.1241207123
455,0.980000019073,9.11991214752,0.960399985313,12.4928922653
460,0.980000019073,6.75270986557,0.954200029373,14.261346817
465,0.97000002861,14.0124206543,0.957700014114,13.6411085129
470,0.959999978542,17.2139930725,0.955900013447,13.9163732529
475,0.959999978542,12.7382230759,0.962000012398,12.9870491028
480,0.939999997616,15.6675834656,0.95759999752,14.0474348068
485,1.0,3.06081318855,0.965699970722,11.832192421
490,0.939999997616,14.5515356064,0.958400011063,13.4428243637
495,0.939999997616,23.1528816223,0.96020001173,12.8030357361
500,0.939999997616,14.8968000412,0.964100003242,12.4770431519
505,0.980000019073,8.01320648193,0.960300028324,12.8423643112
510,0.959999978542,9.72304534912,0.961899995804,12.41755867
515,0.980000019073,6.27141237259,0.966499984264,11.1462087631
520,0.959999978542,14.6820545197,0.964900016785,11.3395233154
525,0.980000019073,8.91283607483,0.967199981213,11.2543306351
530,0.980000019073,8.54314613342,0.963599979877,12.1164579391
535,0.97000002861,11.7897691727,0.964299976826,11.9837245941
540,0.97000002861,7.81887388229,0.961000025272,12.7697734833
545,0.939999997616,19.8643417358,0.959800004959,13.4410429001
550,0.980000019073,6.70698595047,0.963800013065,12.0143671036
555,0.990000009537,6.98437595367,0.959299981594,12.6810369492
560,0.949999988079,8.38590431213,0.964699983597,11.8166074753
565,0.990000009537,5.14295864105,0.964200019836,12.1790990829
570,0.959999978542,10.2912626266,0.964900016785,11.4705171585
575,0.980000019073,12.7052326202,0.964100003242,11.3765325546
580,0.949999988079,12.9153137207,0.962000012398,12.0322217941
585,0.97000002861,6.33208370209,0.96280002594,11.6439085007
590,0.920000016689,26.5372638702,0.963500022888,11.5070314407
595,0.939999997616,16.5768299103,0.964299976826,11.2399530411
600,0.930000007153,19.1153049469,0.964699983597,11.8133087158
605,0.959999978542,11.6188726425,0.9674000144,10.5263652802
610,0.990000009537,5.26280879974,0.965699970722,11.2443799973
615,0.959999978542,12.5533866882,0.963199973106,11.2633543015
620,0.97000002861,11.2564535141,0.963699996471,11.2311954498
625,0.980000019073,6.67244625092,0.965300023556,11.3440504074
630,0.959999978542,14.7089557648,0.967999994755,11.1034479141
635,0.939999997616,20.6741523743,0.965200006962,11.8073501587
640,0.949999988079,15.8890428543,0.96850001812,10.5651435852
645,0.97000002861,7.63510847092,0.966400027275,11.2636957169
650,0.980000019073,6.58655548096,0.962100028992,12.0927381516
655,0.97000002861,14.6848602295,0.962000012398,12.0714035034
660,0.959999978542,11.8213682175,0.968599975109,10.3539609909
665,0.97000002861,11.7308835983,0.96850001812,11.0045433044
670,0.980000019073,7.31981897354,0.968599975109,10.5269966125
675,0.97000002861,8.25228786469,0.966300010681,10.5946731567
680,0.959999978542,15.5397415161,0.966400027275,10.9069843292
685,0.959999978542,10.6128005981,0.968299984932,10.4447803497
690,0.980000019073,15.3502721786,0.96850001812,10.237909317
695,0.949999988079,14.7947015762,0.966400027275,10.8554296494
700,0.97000002861,12.4506492615,0.970399975777,10.2244949341
705,0.980000019073,7.47977256775,0.969600021839,10.1249675751
710,1.0,1.78692901134,0.968699991703,10.0114450455
715,0.980000019073,7.80395889282,0.966000020504,10.539683342
720,0.990000009537,8.35681724548,0.965699970722,10.7498188019
725,0.980000019073,11.0647687912,0.966499984264,10.6436452866
730,0.980000019073,6.15086126328,0.968800008297,10.3435125351
735,0.980000019073,9.8057641983,0.969200015068,10.7534456253
740,0.980000019073,5.54483222961,0.967700004578,10.3648681641
745,0.949999988079,9.94832229614,0.966499984264,10.6384220123
750,0.980000019073,9.25593757629,0.966099977493,11.0666332245
755,0.980000019073,6.5589056015,0.967800021172,10.2775592804
760,0.939999997616,16.7690849304,0.969799995422,9.86886882782
765,0.949999988079,11.7755641937,0.968699991703,10.1473093033
770,0.990000009537,8.61073684692,0.970799982548,9.60239505768
775,0.959999978542,8.9873752594,0.967299997807,10.3526639938
780,1.0,2.57974338531,0.96850001812,10.2338705063
785,0.97000002861,12.9231748581,0.967599987984,10.3784990311
790,0.920000016689,16.6132240295,0.966600000858,11.073223114
795,0.980000019073,6.0683631897,0.966600000858,10.6133470535
800,0.949999988079,15.5871391296,0.964600026608,10.9519481659
805,0.990000009537,5.07927036285,0.969699978828,9.61626052856
810,0.97000002861,9.84092617035,0.970700025558,9.43601989746
815,0.990000009537,4.62549972534,0.97159999609,9.34909248352
820,0.959999978542,10.0087223053,0.971199989319,9.34369754791
825,1.0,2.84665775299,0.972299993038,8.93822860718
830,0.959999978542,10.63667202,0.972899973392,8.92354202271
835,0.980000019073,6.50389957428,0.971400022507,9.26556396484
840,0.97000002861,13.020740509,0.968100011349,9.8762550354
845,0.980000019073,5.46112442017,0.969699978828,9.79318809509
850,0.980000019073,8.79469299316,0.970399975777,9.93341732025
855,0.990000009537,4.16800642014,0.969500005245,10.3310861588
860,0.990000009537,3.51736664772,0.970200002193,9.94069385529
865,0.980000019073,8.37139511108,0.969699978828,9.51907634735
870,0.980000019073,5.22657299042,0.971099972725,9.17772102356
875,0.97000002861,7.30765771866,0.971300005913,9.092004776
880,0.990000009537,5.07872200012,0.971300005913,9.06100463867
885,0.959999978542,12.6387300491,0.971700012684,9.11210155487
890,0.97000002861,8.46388149261,0.971400022507,9.64357376099
895,0.980000019073,6.5589094162,0.970799982548,9.76632499695
900,0.990000009537,4.58001565933,0.9700999856,9.48616790771
905,0.980000019073,12.3663406372,0.970399975777,9.5208864212
910,0.949999988079,11.0530033112,0.968200027943,10.5656642914
915,0.97000002861,10.2803211212,0.96850001812,10.0945568085
920,0.97000002861,10.3267097473,0.970600008965,9.60414600372
925,0.97000002861,7.12612342834,0.970600008965,9.43366622925
930,0.949999988079,13.1631011963,0.969699978828,9.17292785645
935,0.990000009537,6.90264177322,0.9700999856,10.0367898941
940,0.959999978542,14.1582641602,0.97159999609,9.28324794769
945,0.959999978542,8.21484088898,0.971000015736,9.24037742615
950,0.97000002861,8.57189941406,0.970300018787,9.51663303375
955,0.959999978542,11.0017137527,0.970899999142,9.49360370636
960,0.97000002861,7.76938343048,0.972500026226,9.05758190155
965,0.980000019073,6.94867753983,0.972999989986,8.88380050659
970,0.97000002861,7.74628686905,0.973900020123,8.62689304352
975,0.990000009537,4.90230369568,0.972999989986,8.55254173279
980,0.939999997616,17.0177612305,0.972800016403,8.75295639038
985,0.980000019073,5.72918748856,0.973599970341,8.43931674957
990,0.990000009537,3.82914757729,0.974500000477,8.55398082733
995,0.990000009537,4.32415437698,0.975000023842,8.44056606293
1000,1.0,2.6113049984,0.971000015736,8.75179576874
1005,0.980000019073,4.88742494583,0.970799982548,8.79235076904
1010,0.97000002861,15.9747552872,0.973200023174,8.61369895935
1015,0.949999988079,13.6974287033,0.973500013351,8.70202159882
1020,0.97000002861,8.79159355164,0.973800003529,8.32534122467
1025,0.980000019073,6.94051361084,0.97159999609,8.63385391235
1030,0.990000009537,5.20728445053,0.971199989319,8.95012950897
1035,0.97000002861,8.69082164764,0.973299980164,8.41638183594
1040,0.980000019073,5.38462209702,0.972999989986,8.50650405884
1045,0.97000002861,8.3863992691,0.974399983883,8.44812011719
1050,0.949999988079,14.6634321213,0.974600017071,8.2902803421
1055,0.980000019073,5.9458193779,0.973699986935,8.29882526398
1060,0.990000009537,3.11674404144,0.972800016403,8.41851902008
1065,0.939999997616,23.361038208,0.971499979496,8.70450592041
1070,0.930000007153,18.0422039032,0.972400009632,8.79373455048
1075,0.980000019073,7.15728759766,0.971800029278,9.42577838898
1080,0.910000026226,18.2301368713,0.970799982548,9.30291366577
1085,0.959999978542,12.3629159927,0.972100019455,9.25876140594
1090,0.980000019073,4.45446872711,0.973999977112,8.39612960815
1095,0.97000002861,9.19010162354,0.973999977112,8.11822891235
1100,0.97000002861,12.9305448532,0.976100027561,8.10917472839
1105,0.990000009537,4.00439500809,0.974600017071,8.645860672
1110,0.949999988079,11.8765296936,0.973900020123,8.64860248566
1115,1.0,2.52049875259,0.973599970341,8.49482345581
1120,0.980000019073,6.01208209991,0.971199989319,8.67783737183
1125,0.990000009537,7.20134973526,0.972100019455,8.69406795502
1130,1.0,2.63373064995,0.970600008965,9.02332782745
1135,0.990000009537,2.39904308319,0.972400009632,8.8348608017
1140,0.939999997616,15.8923473358,0.972199976444,8.77202033997
1145,0.980000019073,4.41355037689,0.974600017071,7.83872509003
1150,0.97000002861,6.87779474258,0.973599970341,7.85160207748
1155,0.959999978542,6.08265924454,0.973200023174,8.21772575378
1160,0.97000002861,7.82259464264,0.972000002861,9.04369544983
1165,0.980000019073,5.87068033218,0.972299993038,9.15554141998
1170,0.980000019073,5.63358926773,0.973299980164,8.63522338867
1175,0.97000002861,11.4629449844,0.975000023842,7.93842363358
